iMPALA	iMPASA	iMPALN	iMPASN	iMPAR	iA	iBPC	iBPR	iBPAR	iCL	iCi	iCMBD	iCMX	iCMY	iCo	iCHA	iCHC	iE	iOEX	iOEY	iMECD	iMARA	iOSA	iR	iSC	iAZRM	iNZRM	iMPALAt	iMPASAt	iMPALNt	iMPASNt	iMPARt	iAt	iBPCt	iBPRt	iBPARt	iCaLt	iCit	iCMBDt	iCMXt	iCMYt	iCot	iCHAt	iCHCt	iEt	iMECDt	iMARAt	iRt	iSCt	iAZRMt	iNZRMt	iNI	iNL	iPH	iMLI	iBM
1506230000	318498000	1.08313	0.229033	4.72915	37291	8645	2004.13	0.231825	864.991	41039.2	-18.9871	1086.28	1112.91	0.161886	230354	2092.19	0.423682	375	862	890.941	306707	37291	45164.2	7	1824720000	1.31217	13279800000	2835930000	0.502009	0.107205	4.6827	162645	14878	1360.97	0.0914753	1228.93	136163	-14.4575	993.43	1523.11	0.357231	455293	3024.48	0.419975	1265.34	801739	113993	22	16115800000	0.609214	13	14	154.035	9.351692308	62505.31658
2567070000	323728000	0.642999	0.0810872	7.92972	63185	9023	1288.51	0.142803	966.107	45	0.684339	1299.68	1009.95	0.263871	239454	2243.33	0.602221	395	952	994.031	303800	63185	0.0320488	15	2890800000	0.724086	52434400000	1402860000	1.00213	0.0268115	37.3769	228742	14892	969.528	0.0651039	1708.3	124590	12.6216	1211.56	1118.61	0.228541	1000880	4140.45	0.898487	1753.65	1410860	67861.3	17	53837300000	1.02894	12	13	145.372	9.062666667	92316.50985
11776300000	1826110000	1.10925	0.172008	6.44883	103036	11880	1369.76	0.1153	1485.02	1058.29	-8.15979	1258.84	807.974	0.175999	585435	3403.81	0.535095	678	1481	1528.76	941852	103036	10.8697	7	13602400000	1.28126	84860400000	14244800000	0.406329	0.068207	5.95729	456997	22690	1126.56	0.0496502	1696.84	117787	-29.7892	1106.71	1191.13	0.431805	1058340	4280.05	0.507702	1702.84	1317800	30358.4	9	99105100000	0.474536	15	17	210.793	11.98326667	170393.1338
1551340000	1049200000	0.855245	0.578421	1.47859	42590	10843	2760.52	0.25459	873.497	75877.1	1.75144	1253.55	1174.18	0.0857615	496610	2607.75	0.037283	872	775	920.164	662505	42590	135180	10	2600540000	1.43367	23419200000	3171690000	0.765926	0.10373	7.38383	174861	16696	1594.16	0.0954816	1780.73	111241	-1.39346	1378.64	1122.66	0.188401	928134	4194.48	0.579799	1831.87	1309300	70768.4	10	26590900000	0.869656	10	16	65.594	6.5594	65426.91294
4590280000	1675010000	1.14498	0.417809	2.74045	63317	13302	2794.56	0.210086	1121.8	141253	-2.88794	1271.12	983.825	0.103261	613177	2955.51	0.216508	733	1102	1155.45	786452	63317	315120	14	6265290000	1.56279	67225300000	5703060000	0.492957	0.0418201	11.7876	369285	24372	1608.5	0.0659978	1620.47	821.683	-11.9151	1104.84	1103.29	0.506505	729085	3755.64	0.711658	1668.83	878565	1.8283	33	72928400000	0.534778	11	11	168.264	10.98145455	125258.3168
2562370000	277472000	0.564759	0.0611562	9.23469	67358	8770	1141.85	0.1302	964.471	169.941	0.253825	1319.24	1023.09	0.284586	236688	2203.71	0.647359	411	963	991.516	339404	67358	0.428754	8	2839840000	0.625915	21898500000	4748170000	0.368825	0.079971	4.61199	243667	15852	1031.27	0.065056	1207.99	79873.3	12.5105	1261.41	1016.25	0.359784	677260	3208.56	0.414247	1249.21	867694	26182.2	11	26646600000	0.448796	13	18	138.229	7.633846154	111658.8154
5885130000	802317000	0.743078	0.101304	7.33517	88994	9314	974.792	0.104659	1283.45	205.74	14.0744	1311.07	880.008	0.190992	465956	2923.71	0.57768	593	1283	1321.95	687927	88994	0.475639	19	6687450000	0.844382	65925100000	12172700000	0.352471	0.0650815	5.41583	432478	34649	2775.99	0.0801174	1723.14	420356	13.9888	1356.39	1038.51	0.404795	1068390	4306	0.473717	1773.96	1265830	408573	40	78097800000	0.417552	13	13	185.144	10.51676923	156751.2438
4154690000	429808000	0.516154	0.0533968	9.66638	89718	9752	1060.01	0.108696	1039.46	17.0711	-4.57526	1287.46	965.899	0.303135	295967	2366.27	0.660148	376	1039	1069.47	382811	89718	0.00324819	5	4584500000	0.569551	48234500000	3812530000	0.741836	0.058636	12.6516	254991	14180	788.547	0.0556098	1802.73	53124.9	3.44442	1262.48	1105.35	0.305181	835541	4165.92	0.728456	1856.81	1430230	11068.1	6	52047000000	0.800472	14	15	138.601	8.225428571	128252.8719
3672340000	1157420000	0.60542	0.190812	3.17287	77883	10314	1365.88	0.132429	925.875	88.4558	8.621	1279.33	1120.8	0.230879	337333	2306.65	0.271143	537	908	961.962	472555	77883	0.100464	9	4829750000	0.796232	28721400000	1673620000	0.538154	0.0313588	17.1612	231020	15900	1094.32	0.0688252	1241.75	117191	8.54506	1285.52	1084.41	0.521815	442724	2986.87	0.791878	1272.61	505732	59448.1	20	30395000000	0.569512	14	14	131.758	7.958428571	112709.3481
8015170000	390507000	1.46861	0.0715521	20.525	73876	11347	1742.84	0.153595	1246.15	31810.3	7.48812	1319.88	971.684	0.187971	393018	2844.06	0.822803	556	1210	1283.53	531085	73876	13697.2	4	8405680000	1.54016	1.10E+11	9437020000	0.598295	0.0511905	11.6876	429361	30613	2182.68	0.071299	2231.83	387912	2.56221	1425.75	943.45	0.267753	1603570	5307.61	0.70958	2294.86	2124180	350464	23	1.20E+11	0.649486	16	16	176.262	9.0675625	141551.2584
9883370000	946669000	0.819905	0.0785338	10.4402	109792	13340	1620.84	0.121502	1288.09	19	2.40399	1286.37	983.233	0.242751	452282	3001.06	0.680917	560	1268	1314	596825	109792	0.00328804	19	10830000000	0.898439	68237100000	23475800000	0.325274	0.111905	2.9067	458021	26017	1477.85	0.0568031	1652.34	336477	12.1289	1405.88	1082.42	0.318764	1436870	4638.47	0.238201	1705.98	1735690	247187	33	91712900000	0.43718	16	17	189.914	9.069625	177313.1895
3193580000	1331830000	0.710449	0.296281	2.39789	67046	8905	1182.76	0.132819	1059.42	1533.38	4.40475	1359.18	1138.82	0.144989	462422	2718.55	0.16925	762	1057	1088.9	630386	67046	35.0693	12	4525420000	1.00673	46564400000	13987300000	0.473274	0.142165	3.32905	313668	17697	998.456	0.0564195	1636.17	235124	11.1484	1406.39	1008.15	0.195191	1606980	4859.52	0.289449	1793.02	1963580	176249	22	60551600000	0.615439	14	14	146.133	8.086142857	110891.3312
1834740000	1732870000	0.295596	0.279183	1.05879	78784	9551	1157.87	0.12123	785.484	125126	-3.5092	1335.69	1270.36	0.255385	308491	2181.47	0.000815362	603	712	846.503	427668	78784	198728	18	3567600000	0.574779	19008800000	1428550000	0.663822	0.0498875	13.3064	169220	18126	1941.57	0.107115	1341.83	327376	19.0661	1414.29	1026.35	0.305318	554241	3192.33	0.739948	1378.21	765989	633347	37	20437400000	0.71371	13	14	100.584	5.568769231	100134.2641
7999290000	4396420000	0.619109	0.340263	1.8195	113669	17096	2571.27	0.150402	1172.82	94329.3	1.39974	1331.67	839.424	0.1423	798798	3300.77	0.08448	900	1154	1211.47	1021520	113669	78280	7	12395700000	0.959372	1.63E+11	15083000000	0.504913	0.0467537	10.7994	567983	16095	456.086	0.0283371	2222.24	105328	72.8086	1325.59	1159.91	0.5088	1116320	5049.21	0.689731	2273.02	1660160	19532.1	11	1.78E+11	0.551667	13	17	142.447	8.462076923	183522.9014
13725200000	829988000	1.28047	0.0774324	16.5366	103532	12871	1600.11	0.124319	1493.86	85122	-7.31387	1249.84	682.409	0.160797	643867	3472.93	0.784913	659	1481	1538.53	898401	103532	69985.6	9	14555200000	1.3579	1.85E+11	13778800000	0.566908	0.0423293	13.3928	570538	21206	788.194	0.0371684	2360.69	173721	-20.0017	1120.55	1230.57	0.410523	1389780	5304.67	0.741393	2431.51	2088690	52895.8	15	1.98E+11	0.609237	14	16	208.247	12.66778571	186735.7807
5475280000	1935090000	0.668365	0.236215	2.82948	90510	13396	1982.69	0.148006	1149.93	9614.37	-1.34449	1339.72	946.572	0.167436	540566	2907.48	0.228232	737	1147	1184.18	794238	90510	1021.28	19	7410370000	0.904579	93221800000	19960200000	0.346049	0.0740943	4.67038	519027	24873	1191.97	0.0479224	1682.65	104062	57.2212	1236.84	1081.77	0.399752	1298370	4461.76	0.418984	1735.53	1763230	20863.9	10	1.13E+11	0.420143	16	18	181.307	9.735	158838.9698
